Zipcode,Place Name,State,County,Lat,Lon,
49 59077,Sand Springs,MT,Garfield,47.1008,-107.485,
39 56115,Balaton,MN,Lyon,44.2253,-95.883,
40 39173,Tinsley,MS,Yazoo,32.7628,-90.362,
46 64020,Concordia,MO,Lafayette,38.9776,-93.581,
46 28075,Harrisburg,NC,Cabarrus,35.3247,-80.659,
42 63010,Arnold,MO,Jefferson,38.4305,-90.38,
46 2718,East Taunton,MA,Bristol,41.8736,-71.019,
40 19608,Reading,PA,Berks,40.3113,-76.034,
43 12184,Valatie,NY,Columbia,42.4321,-73.668,
38 25266,Newton,WV,Roane,38.606,-81.162,
57 21093,Lutherville Timonium,MD,Baltimore,39.4332,-76.654,
48 1222,Ashley Falls,MA,Berkshire,42.0596,-73.320,
58 20074,Washington,DC,District of Columbia,38.8933,-77.014,
44 47683,Somerville,IN,Gibson,38.2764,-87.377,
40 97303,Salem,OR,Marion,44.9927,-123.016,
41 77878,Snook,TX,Burleson,30.4702,-96.480,
38 25076,Ethel,WV,Logan,37.8665,-81.912,
44 45404,Dayton,OH,Montgomery,39.7862,-84.162,
45 86343,Crown King,AZ,Yavapai,34.2241,-112.33,
48 28543,Tarawa Terrace,NC,Onslow,34.7354,-77.383,
52 91423,Sherman Oaks,CA,Los Angeles,34.1526,-118.432,
49 54512,Boulder Junction,WI,Vilas,46.1112,-89.632,
58 20011,Washington,DC,District of Columbia,38.9518,-77.020,
41 52625,Donnellson,IA,Lee,40.6612,-91.574,
47 35285,Birmingham,AL,Jefferson,33.5446,-86.929,
40 84315,Hooper,UT,Weber,41.1668,-112.136,
47 35648,Lexington,AL,Lauderdale,34.9559,-87.393,
46 26559,Barrackville,WV,Marion,39.5052,-80.172,
47 60169,Hoffman Estates,IL,Cook,42.0493,-88.106,
41 92222,Bard,CA,Imperial,32.7822,-114.561,
44 33023,Hollywood,FL,Broward,25.9894,-80.215,
43 40068,Smithfield,KY,Henry,38.3933,-85.265,
38 39288,Pearl,MS,Rankin,32.2746,-90.13,
48 4414,Brownville,ME,Piscataquis,45.3412,-69.042,
43 50078,Ferguson,IA,Marshall,41.9374,-92.86,
42 41230,Louisa,KY,Lawrence,38.1043,-82.605,
